Canada,Chocolate Chip,292,5,2,2,February,2019,285,292,5,2,876
Mexico,Chocolate Chip,974,5,2,2,February,2019,967,974,5,2,2922
Canada,Chocolate Chip,2518,5,2,6,June,2019,2511,2518,5,2,7554
Germany,Chocolate Chip,1006,5,2,6,June,2019,999,1006,5,2,3018
Germany,Chocolate Chip,367,5,2,7,July,2019,360,367,5,2,1101
Mexico,Chocolate Chip,883,5,2,8,August,2019,876,883,5,2,2649
France,Chocolate Chip,549,5,2,9,September,2018,542,549,5,2,1647
Mexico,Chocolate Chip,788,5,2,9,September,2018,781,788,5,2,2364
Mexico,Chocolate Chip,2472,5,2,9,September,2019,2465,2472,5,2,7416
United States,Chocolate Chip,1143,5,2,10,October,2019,1136,1143,5,2,3429
Canada,Chocolate Chip,1725,5,2,11,November,2018,1718,1725,5,2,5175
United States,Chocolate Chip,912,5,2,11,November,2018,905,912,5,2,2736
Canada,Chocolate Chip,2152,5,2,12,December,2018,2145,2152,5,2,6456
Canada,Chocolate Chip,1817,5,2,12,December,2019,1810,1817,5,2,5451
Germany,Chocolate Chip,1513,5,2,12,December,2019,1506,1513,5,2,4539
France,Chocolate Chip,3945,5,2,1,January,2019,3938,3945,5,2,11835
France,Chocolate Chip,2296,5,2,2,February,2019,2289,2296,5,2,6888
France,Chocolate Chip,1030,5,2,5,May,2019,1023,1030,5,2,3090
United States,Chocolate Chip,1514,5,2,2,February,2019,1507,1514,5,2,4542
United States,Chocolate Chip,4492.5,5,2,4,April,2019,4485.5,4492.5,5,2,13477.5
United States,Chocolate Chip,727,5,2,6,June,2019,720,727,5,2,2181
France,Chocolate Chip,787,5,2,6,June,2019,780,787,5,2,2361
Mexico,Chocolate Chip,1823,5,2,7,July,2019,1816,1823,5,2,5469
Germany,Chocolate Chip,747,5,2,9,September,2019,740,747,5,2,2241
Germany,Chocolate Chip,766,5,2,10,October,2018,759,766,5,2,2298
United States,Chocolate Chip,2905,5,2,11,November,2019,2898,2905,5,2,8715
France,Chocolate Chip,2155,5,2,12,December,2019,2148,2155,5,2,6465
Canada,Chocolate Chip,2363,5,2,2,February,2019,2356,2363,5,2,7089
France,Chocolate Chip,918,5,2,5,May,2019,911,918,5,2,2754
Germany,Chocolate Chip,1728,5,2,5,May,2019,1721,1728,5,2,5184
United States,Chocolate Chip,1142,5,2,6,June,2019,1135,1142,5,2,3426
Mexico,Chocolate Chip,662,5,2,6,June,2019,655,662,5,2,1986
Canada,Chocolate Chip,1295,5,2,10,October,2019,1288,1295,5,2,3885
Germany,Chocolate Chip,809,5,2,10,October,2018,802,809,5,2,2427
Mexico,Chocolate Chip,2145,5,2,10,October,2018,2138,2145,5,2,6435
France,Chocolate Chip,1785,5,2,11,November,2018,1778,1785,5,2,5355
Canada,Chocolate Chip,1916,5,2,12,December,2019,1909,1916,5,2,5748
Canada,Chocolate Chip,2852,5,2,12,December,2019,2845,2852,5,2,8556
Canada,Chocolate Chip,2729,5,2,12,December,2019,2722,2729,5,2,8187
United States,Chocolate Chip,1925,5,2,12,December,2018,1918,1925,5,2,5775
United States,Chocolate Chip,2013,5,2,12,December,2018,2006,2013,5,2,6039
France,Chocolate Chip,1055,5,2,12,December,2019,1048,1055,5,2,3165
Mexico,Chocolate Chip,1084,5,2,12,December,2019,1077,1084,5,2,3252
France,Chocolate Chip,2434.5,5,2,1,January,2019,2427.5,2434.5,5,2,7303.5
Canada,Chocolate Chip,1774,5,2,3,March,2019,1767,1774,5,2,5322
France,Chocolate Chip,1901,5,2,6,June,2019,1894,1901,5,2,5703
Germany,Chocolate Chip,689,5,2,6,June,2019,682,689,5,2,2067
Germany,Chocolate Chip,1570,5,2,6,June,2019,1563,1570,5,2,4710
United States,Chocolate Chip,1369.5,5,2,7,July,2019,1362.5,1369.5,5,2,4108.5
Canada,Chocolate Chip,2009,5,2,10,October,2019,2002,2009,5,2,6027
Germany,Chocolate Chip,1945,5,2,10,October,2018,1938,1945,5,2,5835
France,Chocolate Chip,1287,5,2,12,December,2019,1280,1287,5,2,3861
Germany,Chocolate Chip,1706,5,2,12,December,2019,1699,1706,5,2,5118
Mexico,Chocolate Chip,1760,5,2,9,September,2018,1753,1760,5,2,5280
Mexico,Chocolate Chip,2031,5,2,10,October,2019,2024,2031,5,2,6093
France,Chocolate Chip,2261,5,2,12,December,2018,2254,2261,5,2,6783
Canada,Chocolate Chip,4251,5,2,1,January,2019,4244,4251,5,2,12753
Germany,Chocolate Chip,795,5,2,3,March,2019,788,795,5,2,2385
Germany,Chocolate Chip,1414.5,5,2,4,April,2019,1407.5,1414.5,5,2,4243.5
United States,Chocolate Chip,2918,5,2,5,May,2019,2911,2918,5,2,8754
United States,Chocolate Chip,3450,5,2,7,July,2019,3443,3450,5,2,10350
France,Chocolate Chip,2988,5,2,7,July,2019,2981,2988,5,2,8964
Canada,Chocolate Chip,218,5,2,9,September,2019,211,218,5,2,654
Canada,Chocolate Chip,2074,5,2,9,September,2019,2067,2074,5,2,6222
United States,Chocolate Chip,1056,5,2,9,September,2019,1049,1056,5,2,3168
United States,Chocolate Chip,671,5,2,10,October,2018,664,671,5,2,2013
Mexico,Chocolate Chip,1514,5,2,10,October,2018,1507,1514,5,2,4542
United States,Chocolate Chip,274,5,2,12,December,2019,267,274,5,2,822
Mexico,Chocolate Chip,1138,5,2,12,December,2019,1131,1138,5,2,3414
Germany,Chocolate Chip,1372,5,2,1,January,2019,1365,1372,5,2,4116
Canada,Chocolate Chip,2349,5,2,9,September,2018,2342,2349,5,2,7047
Mexico,Chocolate Chip,2689,5,2,10,October,2019,2682,2689,5,2,8067
Canada,Chocolate Chip,2431,5,2,12,December,2019,2424,2431,5,2,7293
France,Chocolate Chip,1303,5,2,2,February,2019,1296,1303,5,2,3909
United States,Chocolate Chip,2992,5,2,3,March,2019,2985,2992,5,2,8976
France,Chocolate Chip,2385,5,2,3,March,2019,2378,2385,5,2,7155
Mexico,Chocolate Chip,1607,5,2,4,April,2019,1600,1607,5,2,4821
United States,Chocolate Chip,2327,5,2,5,May,2019,2320,2327,5,2,6981
United States,Chocolate Chip,991,5,2,6,June,2019,984,991,5,2,2973
United States,Chocolate Chip,602,5,2,6,June,2019,595,602,5,2,1806
France,Chocolate Chip,2620,5,2,9,September,2019,2613,2620,5,2,7860
Canada,Chocolate Chip,1228,5,2,10,October,2018,1221,1228,5,2,3684
Canada,Chocolate Chip,1389,5,2,10,October,2018,1382,1389,5,2,4167
United States,Chocolate Chip,861,5,2,10,October,2019,854,861,5,2,2583
France,Chocolate Chip,704,5,2,10,October,2018,697,704,5,2,2112
Canada,Chocolate Chip,1802,5,2,12,December,2018,1795,1802,5,2,5406
United States,Chocolate Chip,2663,5,2,12,December,2019,2656,2663,5,2,7989
France,Chocolate Chip,2136,5,2,12,December,2018,2129,2136,5,2,6408
Germany,Chocolate Chip,2116,5,2,12,December,2018,2109,2116,5,2,6348
France,Chocolate Chip,3801,5,2,4,April,2019,3794,3801,5,2,11403
France,Chocolate Chip,1496,5,2,6,June,2019,1489,1496,5,2,4488
Canada,Chocolate Chip,2299,5,2,10,October,2018,2292,2299,5,2,6897
United States,Chocolate Chip,727,5,2,10,October,2018,720,727,5,2,2181
United States,Chocolate Chip,2198,5,2,8,August,2019,2191,2198,5,2,6594
Germany,Chocolate Chip,1743,5,2,8,August,2019,1736,1743,5,2,5229
United States,Chocolate Chip,1153,5,2,10,October,2019,1146,1153,5,2,3459
France,Chocolate Chip,1757,5,2,10,October,2018,1750,1757,5,2,5271
France,Chocolate Chip,1031,5,2,9,September,2018,1024,1031,5,2,3093
Canada,Chocolate Chip,1702,5,2,5,May,2019,1695,1702,5,2,5106
France,Chocolate Chip,448,5,2,6,June,2019,441,448,5,2,1344
Germany,Chocolate Chip,3513,5,2,7,July,2019,3506,3513,5,2,10539
France,Chocolate Chip,2101,5,2,8,August,2019,2094,2101,5,2,6303
United States,Chocolate Chip,2931,5,2,9,September,2018,2924,2931,5,2,8793
France,Chocolate Chip,1535,5,2,9,September,2019,1528,1535,5,2,4605
Germany,Chocolate Chip,1123,5,2,9,September,2018,1116,1123,5,2,3369
Canada,Chocolate Chip,1404,5,2,11,November,2018,1397,1404,5,2,4212
Mexico,Chocolate Chip,2763,5,2,11,November,2018,2756,2763,5,2,8289
Germany,Chocolate Chip,2125,5,2,12,December,2018,2118,2125,5,2,6375
Canada,Chocolate Chip,257,5,2,5,May,2019,250,257,5,2,771
Mexico,Chocolate Chip,1114,5,2,3,March,2019,1107,1114,5,2,3342
Germany,Chocolate Chip,1259,5,2,4,April,2019,1252,1259,5,2,3777
Germany,Chocolate Chip,1095,5,2,5,May,2019,1088,1095,5,2,3285
Germany,Chocolate Chip,1366,5,2,6,June,2019,1359,1366,5,2,4098
Mexico,Chocolate Chip,2460,5,2,6,June,2019,2453,2460,5,2,7380
United States,Chocolate Chip,678,5,2,8,August,2019,671,678,5,2,2034
Germany,Chocolate Chip,1598,5,2,8,August,2019,1591,1598,5,2,4794
Germany,Chocolate Chip,2409,5,2,9,September,2018,2402,2409,5,2,7227
Germany,Chocolate Chip,1934,5,2,9,September,2019,1927,1934,5,2,5802
Mexico,Chocolate Chip,2993,5,2,9,September,2019,2986,2993,5,2,8979
Germany,Chocolate Chip,2146,5,2,11,November,2018,2139,2146,5,2,6438
Mexico,Chocolate Chip,1946,5,2,12,December,2018,1939,1946,5,2,5838
Mexico,Chocolate Chip,1362,5,2,12,December,2019,1355,1362,5,2,4086
Mexico,Chocolate Chip,2565,5,2,1,January,2019,2558,2565,5,2,7695
Mexico,Chocolate Chip,2417,5,2,1,January,2019,2410,2417,5,2,7251
United States,Chocolate Chip,3675,5,2,4,April,2019,3668,3675,5,2,11025
Canada,Chocolate Chip,1094,5,2,6,June,2019,1087,1094,5,2,3282
France,Chocolate Chip,1227,5,2,10,October,2019,1220,1227,5,2,3681
Mexico,Chocolate Chip,367,5,2,10,October,2018,360,367,5,2,1101
France,Chocolate Chip,1324,5,2,11,November,2019,1317,1324,5,2,3972
Germany,Chocolate Chip,1775,5,2,11,November,2018,1768,1775,5,2,5325
United States,Chocolate Chip,2797,5,2,12,December,2019,2790,2797,5,2,8391
United States,Chocolate Chip,973,5,2,3,March,2019,966,973,5,2,2919
Mexico,Chocolate Chip,1038,5,2,6,June,2019,1031,1038,5,2,3114
Germany,Chocolate Chip,360,5,2,10,October,2019,353,360,5,2,1080
United States,Chocolate Chip,386,5,2,10,October,2018,379,386,5,2,1158
France,Chocolate Chip,1954,5,2,3,March,2019,1947,1954,5,2,5862
Mexico,Chocolate Chip,591,5,2,5,May,2019,584,591,5,2,1773
France,Chocolate Chip,2167,5,2,10,October,2018,2160,2167,5,2,6501
Germany,Chocolate Chip,241,5,2,10,October,2019,234,241,5,2,723
France,Chocolate Chip,2532,5,2,4,April,2019,2525,2532,5,2,7596
France,Chocolate Chip,1198,5,2,10,October,2018,1191,1198,5,2,3594
Canada,Chocolate Chip,873,5,2,1,January,2019,866,873,5,2,2619
Mexico,Chocolate Chip,1122,5,2,3,March,2019,1115,1122,5,2,3366
Canada,Chocolate Chip,2104.5,5,2,7,July,2019,2097.5,2104.5,5,2,6313.5
Canada,Chocolate Chip,4026,5,2,7,July,2019,4019,4026,5,2,12078
France,Chocolate Chip,2425.5,5,2,7,July,2019,2418.5,2425.5,5,2,7276.5
Canada,Chocolate Chip,2394,5,2,8,August,2019,2387,2394,5,2,7182
Mexico,Chocolate Chip,1984,5,2,8,August,2019,1977,1984,5,2,5952
France,Chocolate Chip,2441,5,2,10,October,2019,2434,2441,5,2,7323
Germany,Chocolate Chip,2992,5,2,10,October,2018,2985,2992,5,2,8976
Canada,Chocolate Chip,1366,5,2,11,November,2019,1359,1366,5,2,4098
United States,Chocolate Chip,380,5,2,9,September,2018,373,380,5,2,1140
United States,Chocolate Chip,3495,5,2,1,January,2019,3488,3495,5,2,10485
Mexico,Chocolate Chip,886,5,2,6,June,2019,879,886,5,2,2658
Mexico,Chocolate Chip,2156,5,2,10,October,2019,2149,2156,5,2,6468
Mexico,Chocolate Chip,905,5,2,10,October,2019,898,905,5,2,2715
Mexico,Chocolate Chip,1715,5,2,10,October,2018,1708,1715,5,2,5145
France,Chocolate Chip,1594,5,2,11,November,2019,1587,1594,5,2,4782
Germany,Chocolate Chip,1359,5,2,11,November,2019,1352,1359,5,2,4077
Mexico,Chocolate Chip,2150,5,2,11,November,2019,2143,2150,5,2,6450
Mexico,Chocolate Chip,1197,5,2,11,November,2019,1190,1197,5,2,3591
Mexico,Chocolate Chip,380,5,2,12,December,2018,373,380,5,2,1140
Mexico,Chocolate Chip,1233,5,2,12,December,2019,1226,1233,5,2,3699
Germany,Chocolate Chip,1531,5,2,12,December,2019,1524,1531,5,2,4593
United States,Chocolate Chip,1438.5,5,2,1,January,2019,1431.5,1438.5,5,2,4315.5
Germany,Chocolate Chip,807,5,2,1,January,2019,800,807,5,2,2421
United States,Chocolate Chip,2641,5,2,2,February,2019,2634,2641,5,2,7923
Germany,Chocolate Chip,2708,5,2,2,February,2019,2701,2708,5,2,8124
Canada,Chocolate Chip,2632,5,2,6,June,2019,2625,2632,5,2,7896
Canada,Chocolate Chip,1583,5,2,6,June,2019,1576,1583,5,2,4749
Mexico,Chocolate Chip,571,5,2,7,July,2019,564,571,5,2,1713
France,Chocolate Chip,2696,5,2,8,August,2019,2689,2696,5,2,8088
Canada,Chocolate Chip,1565,5,2,10,October,2019,1558,1565,5,2,4695
Canada,Chocolate Chip,1249,5,2,10,October,2019,1242,1249,5,2,3747
Germany,Chocolate Chip,357,5,2,11,November,2019,350,357,5,2,1071
Germany,Chocolate Chip,1013,5,2,12,December,2019,1006,1013,5,2,3039
Germany,Chocolate Chip,278,5,2,2,February,2019,271,278,5,2,834
Canada,Chocolate Chip,2428,5,2,3,March,2019,2421,2428,5,2,7284
United States,Chocolate Chip,1767,5,2,9,September,2019,1760,1767,5,2,5301
France,Chocolate Chip,1393,5,2,10,October,2019,1386,1393,5,2,4179
Mexico,Chocolate Chip,260,5,2,2,February,2019,253,260,5,2,780
Canada,Chocolate Chip,2470,5,2,9,September,2018,2463,2470,5,2,7410
Canada,Chocolate Chip,1743,5,2,10,October,2018,1736,1743,5,2,5229
United States,Chocolate Chip,2914,5,2,10,October,2019,2907,2914,5,2,8742
France,Chocolate Chip,1731,5,2,10,October,2019,1724,1731,5,2,5193
Canada,Chocolate Chip,700,5,2,11,November,2019,693,700,5,2,2100
Canada,Chocolate Chip,2222,5,2,11,November,2018,2215,2222,5,2,6666
United States,Chocolate Chip,1177,5,2,11,November,2019,1170,1177,5,2,3531
France,Chocolate Chip,1922,5,2,11,November,2018,1915,1922,5,2,5766
Germany,Chocolate Chip,1158,5,2,3,March,2019,1151,1158,5,2,3474
Canada,Chocolate Chip,1614,5,2,4,April,2019,1607,1614,5,2,4842
Mexico,Chocolate Chip,2535,5,2,4,April,2019,2528,2535,5,2,7605
Mexico,Chocolate Chip,2851,5,2,5,May,2019,2844,2851,5,2,8553
Canada,Chocolate Chip,2559,5,2,8,August,2019,2552,2559,5,2,7677
United States,Chocolate Chip,267,5,2,10,October,2018,260,267,5,2,801
Germany,Chocolate Chip,1085,5,2,10,October,2019,1078,1085,5,2,3255
Germany,Chocolate Chip,1175,5,2,10,October,2019,1168,1175,5,2,3525
United States,Chocolate Chip,2007,5,2,11,November,2018,2000,2007,5,2,6021
Mexico,Chocolate Chip,2151,5,2,11,November,2018,2144,2151,5,2,6453
United States,Chocolate Chip,914,5,2,12,December,2019,907,914,5,2,2742
France,Chocolate Chip,293,5,2,12,December,2019,286,293,5,2,879
Canada,Chocolate Chip,723,5,2,4,April,2019,716,723,5,2,2169
